Concurrent Viewers,Likes,Dislikes,Total Viewers,Subscriptions Driven,Shares,Timestamp,Quality,,,,Device,,,,,Anticpation/Popularity,Category,,,Region,,,,SourceRegion
a,a,a,a,a,a,a,240p,360,720,1080p,Laptops/Desktop,Android,iPhone,Xbox,Playstation,,News,Sports,Entertainment,Tokyo,Australia,London,America,g
3507,528,68,10/6/2014 15:45,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3518,528,68,10/6/2014 15:45,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3516,528,68,10/6/2014 15:46,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3509,528,68,10/6/2014 15:46,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3522,528,68,10/6/2014 15:47,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3515,528,68,10/6/2014 15:47,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3500,528,68,10/6/2014 15:48,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3529,528,68,10/6/2014 15:48,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3525,528,68,10/6/2014 15:49,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3525,528,68,10/6/2014 15:49,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3519,528,68,10/6/2014 15:50,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3540,528,68,10/6/2014 15:50,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3541,528,68,10/6/2014 15:51,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3554,529,68,10/6/2014 15:52,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3566,529,68,10/6/2014 15:52,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3571,529,68,10/6/2014 15:53,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3552,530,68,10/6/2014 15:53,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3540,530,68,10/6/2014 15:54,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3551,530,68,10/6/2014 15:54,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3522,530,68,10/6/2014 15:55,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3532,531,68,10/6/2014 15:55,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3531,531,68,10/6/2014 15:56,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3522,531,68,10/6/2014 15:56,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3532,531,68,10/6/2014 15:57,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3529,531,68,10/6/2014 15:57,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3527,531,68,10/6/2014 15:58,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3508,531,68,10/6/2014 15:58,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3514,531,68,10/6/2014 15:59,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
